"state","demographic_group","high_adi_predicted","low_adi_predicted","high_adi_observed","low_adi_observed","absolute_disparity_predicted","relative_disparity_predicted","absolute_disparity_observed","high_adi_mean_staternk","low_adi_mean_staternk","sample_size_high","sample_size_low"
"NH","General_Population",0.989148877383894,0.98976675347574,0.988142292490119,0.980544747081712,0.000617876091846048,0.000624654292163074,-0.00759754540840651,8.01388888888889,1.69204152249135,288,289
"NH","Older_American",0.988596005220104,0.990251672165224,1,1,0.00165566694512043,0.00167476596747096,0,8.01388888888889,1.69204152249135,288,289
"NH","Servicemember",0.987742172864212,0.98815610962613,0.916666666666667,1,0.00041393676191781,0.000419073694826189,0.0833333333333334,8.01388888888889,1.69204152249135,288,289
"AL","General_Population",0.985833109981506,0.986635901633656,0.993696007471399,0.98626441010547,0.000802791652149581,0.000814328149482346,-0.00743159736592891,8.34570355643914,2.0346808040645,4527,4527
"AL","Older_American",0.985037222605705,0.987199446357231,0.985915492957746,0.97037037037037,0.00216222375152586,0.00219506806636827,-0.0155451225873762,8.34570355643914,2.0346808040645,4527,4527
"AL","Servicemember",0.98402372342648,0.984560361468045,0.976878612716763,0.984126984126984,0.000536638041564341,0.000545350715423609,0.00724837141022106,8.34570355643914,2.0346808040645,4527,4527
"IN","General_Population",0.985348533312338,0.986180630684703,0.986550976138829,0.983675373134328,0.000832097372365559,0.000844470097873362,-0.00287560300450085,8.32728006456821,1.99878983461074,2478,2479
"IN","Older_American",0.984530257672554,0.986770476795697,0.959459459459459,0.981651376146789,0.00224021912314254,0.00227541927298258,0.0221919166873296,8.32728006456821,1.99878983461074,2478,2479
"IN","Servicemember",0.983477134917512,0.984033344333673,0.98989898989899,0.960176991150443,0.000556209416160414,0.000565553988407741,-0.0297219987485474,8.32728006456821,1.99878983461074,2478,2479
"MI","General_Population",0.987492566879408,0.988326061351382,0.99071442107258,0.985653667407557,0.000833494471974672,0.000844051388263711,-0.00506075366502245,9.56642857142857,2.1182142857143,5600,5600
"MI","Older_American",0.986536361551651,0.988804627940038,0.984732824427481,0.989399293286219,0.00226826638838662,0.00229922228595703,0.00466646885873823,9.56642857142857,2.1182142857143,5600,5600
"MI","Servicemember",0.985957687434189,0.986513730051568,0.994791666666667,0.97554347826087,0.000556042617378738,0.000563961947318115,-0.0192481884057971,9.56642857142857,2.1182142857143,5600,5600
